Name in documentation	Category	Qty	Full Name	Notes	Supplier 1	Part No	Link
150mm mini hacksaw	tool	1	150mm mini hacksaw		RS	281-9162	https://uk.rs-online.com/web/p/hand-saws/2819162?gb=a
2mm Hex key	tool	1	2mm Hex key		RS	707-3282	https://uk.rs-online.com/web/p/hex-keys/7073282?gb=s
3d printer	machine	1	3d printer		RS	ENDER-3 S1 PRO	https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
clear plastic sheet	material	1	clear plastic sheet		RS	334-6472	https://uk.rs-online.com/web/p/plastic-sheets/3346472?gb=s
Laser cutter	machine	1	Laser cutter		RS	ENDER-3 S1 PRO	https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
Liquid Adhesive	material	1	Liquid Adhesive		RS	132-605	https://uk.rs-online.com/web/p/adhesives/0132605?gb=a
M3 tap set	tool	1	M3 tap set		RS	215-552	https://uk.rs-online.com/web/p/threading-taps/0215552?gb=s
M3x8 socket cap screw	part	20	M3x8 socket cap screw		RS	280-997	https://uk.rs-online.com/web/p/socket-screws/0280997?gb=s
maker beam XL	material	1	maker beam XL		technobotsonline	4447-087	https://www.technobotsonline.com/makerbeamxl-1000mm-long-black-anodised-beam-threaded.html
Multi Angle Vice	machine	1	Multi Angle Vice		RS	1-83-069	https://uk.rs-online.com/web/p/vices/6677189?gb=s
PLA filament	material	80 g	PLA filament		RS	832-0214	https://uk.rs-online.com/web/p/3d-printing-materials/8320214?gb=s
tap wrench	tool	1	tap wrench		RS	230-0112	https://uk.rs-online.com/web/p/tap-die-wrenches/2300112?gb=a
